[08-Dec-2020 00:19:59 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\www\Assignment5\signup.php on line 44
[08-Dec-2020 01:02:31 UTC] PHP Parse error:  syntax error, unexpected 'btn' (T_STRING), expecting ';' or ',' in C:\www\Assignment5\header.php on line 18
[08-Dec-2020 03:00:18 UTC] PHP Parse error:  syntax error, unexpected 'isset' (T_ISSET), expecting '(' in C:\www\Assignment5\header.php on line 36
[08-Dec-2020 03:00:38 UTC] PHP Parse error:  syntax error, unexpected 'isset' (T_ISSET), expecting '(' in C:\www\Assignment5\header.php on line 36
[08-Dec-2020 03:00:39 UTC] PHP Parse error:  syntax error, unexpected 'isset' (T_ISSET), expecting '(' in C:\www\Assignment5\header.php on line 36
[08-Dec-2020 03:01:56 UTC] PHP Parse error:  syntax error, unexpected 'isset' (T_ISSET), expecting '(' in C:\www\Assignment5\header.php on line 35
[08-Dec-2020 03:02:01 UTC] PHP Parse error:  syntax error, unexpected 'isset' (T_ISSET), expecting '(' in C:\www\Assignment5\header.php on line 35
[08-Dec-2020 03:19:05 UTC] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting '-' or identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in C:\www\Assignment5\header.php on line 34
[08-Dec-2020 03:19:52 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\www\Assignment5\header.php on line 39
[08-Dec-2020 05:03:16 UTC] PHP Notice:  Undefined index: background in C:\www\Assignment5\header.php on line 34
[08-Dec-2020 05:04:00 UTC] PHP Notice:  Undefined index: background in C:\www\Assignment5\header.php on line 34
[08-Dec-2020 05:04:03 UTC] PHP Notice:  Undefined index: background in C:\www\Assignment5\header.php on line 34
[08-Dec-2020 05:04:04 UTC] PHP Notice:  Undefined index: background in C:\www\Assignment5\header.php on line 34
[08-Dec-2020 05:05:18 UTC] PHP Notice:  Undefined variable: background in C:\www\Assignment5\header.php on line 39
[08-Dec-2020 05:06:54 UTC] PHP Notice:  Undefined variable: background in C:\www\Assignment5\header.php on line 39
[08-Dec-2020 05:06:55 UTC] PHP Notice:  Undefined variable: background in C:\www\Assignment5\header.php on line 39
[08-Dec-2020 05:06:56 UTC] PHP Notice:  Undefined variable: background in C:\www\Assignment5\header.php on line 39
